iterations_s1_anneal,objective_s1_anneal,kl_s1_anneal,pp_s1_anneal,E_log_pxz_s1_anneal,ELBO_s1_anneal,kl_pct_obj_s1_anneal,objective_s1,kl_s1,pp_s1,E_log_pxz_s1,ELBO_s1,kl_pct_obj_s1,objective_s2,kl_s2,pp_s2,E_log_pxz_s2,ELBO_s2,kl_pct_obj_s2,objective_s3,kl_s3,pp_s3,E_log_pxz_s3,ELBO_s3,kl_pct_obj_s3,kl_s1_avg,kl_s1_anneal_avg,kl_s2_avg,kl_s3_avg,objective_s1_avg,objective_s1_anneal_avg,objective_s2_avg,objective_s3_avg,E_log_pxz_s1_avg,E_log_pxz_s1_anneal_avg,E_log_pxz_s2_avg,E_log_pxz_s3_avg,ELBO_s1_avg,ELBO_s1_anneal_avg,ELBO_s2_avg,ELBO_s3_avg,kl_pct_obj_s1_avg,kl_pct_obj_s1_anneal_avg,kl_pct_obj_s2_avg,kl_pct_obj_s3_avg
0,-131.653291016,0.5441263961789999,17377.705066846465,-131.109164619821,-131.653291016,0.0041330254031619424,-131.518378906,0.5441263961789999,17204.71477050894,-130.974252509821,-131.518378906,0.004137265078121916,-262.563515625,0.5441263961789999,285794480.11065084,-131.00969461441048,-131.55382101058947,0.002072361024279304,-393.60859375,0.5441263961789999,4747427147170.542,-131.02148911794032,-131.56561551411932,0.001382404766610866,,,,,,,,,,,,,,,,,,,,
1000,-92.5307617188,28.043886718699998,1119.394706698034,-64.4868750001,-92.5307617188,0.3030763629064794,-68.3549023437,0.24646360397300002,178.7985336946773,-68.108438739727,-68.3549023437,0.003605646347554406,-136.690820312,2.00438461304,31922.901008074416,-67.34321784948,-69.34760246252,0.014663637312768664,-203.755019531,3.88912017822,5175309.365589358,-66.62196645092666,-70.51108662914666,0.019087236168080245,,,,,,,,,,,,,,,,,,,,
2000,-81.4338476562,20.154359130899998,463.59019155303673,-61.2794885253,-81.4338476562,0.24749363699463534,-65.90024414060001,0.118589801788,143.73613228561075,-65.781654338812,-65.90024414060001,0.0017995350902643903,-131.30699218700002,1.7480984497099998,19905.583239993965,-64.77944686864501,-66.52754531835501,0.013313064449914872,-194.51652343799998,5.24281555176,2335862.3666054467,-63.09123596207999,-68.33405151384,0.02695306012618044,,,,,,,,,,,,,,,,,,,,
3000,-77.7904394531,16.2197900391,280.6163309743476,-61.570649414,-77.7904394531,0.20850621430000973,-65.9440478516,0.16109462738,118.93227246515586,-65.78295322422001,-65.9440478516,0.0024428986789304494,-130.72224609399998,2.3595007324200004,12998.984636810608,-64.18137268078999,-66.54087341321,0.018049726063636685,-192.98822265599998,6.05429077148,1184289.7854100121,-62.311310628173324,-68.36560139965333,0.031371296590837705,,,,,,,,,,,,,,,,,,,,
4000,-70.6831933594,15.2470800781,206.55310957944644,-55.436113281299995,-70.6831933594,0.21571011938543558,-61.387724609399996,0.192148475647,102.46710556393408,-61.19557613375299,-61.387724609399996,0.0031300797817415318,-120.922636719,3.59381378174,9130.30338059106,-58.66441146863,-62.25822525037,0.029719942264336364,-177.93923828099997,6.62502624512,672830.5131933828,-57.10473734529332,-63.72976359041332,0.03723195799376088,,,,,,,,,,,,,,,,,,,,
5000,-71.8354736328,14.372492675799998,201.82203709405783,-57.462980957000006,-71.8354736328,0.2000751432261391,-63.8010351563,0.17551677703899998,111.47291969123894,-63.625518379261,-63.8010351563,0.0027510020269893485,-124.725449219,4.421018066409999,10047.019902030028,-60.152215576295,-64.57323364270499,0.03544599834350828,-184.09390625,7.2454650878899995,807196.9415037339,-58.949480387369995,-66.19494547526,0.03935744118575353,,,,,,,,,,,,,,,,,,,,
6000,-71.67633789060001,13.0504406738,156.76514496073213,-58.62589721680001,-71.67633789060001,0.18207460171471038,-64.4655175781,0.210097961426,94.27615741115484,-64.255419616674,-64.4655175781,0.003259075073297383,-126.34224609399999,4.9460449218800004,7404.849598100896,-60.698100586059994,-65.64414550794,0.03914798948722258,-186.62953125,7.50239074707,519936.5200854924,-59.70904683431001,-67.21143758138001,0.04019937625530525,,,,,,,,,,,,,,,,,,,,
7000,-68.0779296875,12.4311010742,149.5410807760887,-55.6468286133,-68.0779296875,0.18260104458615042,-62.474316406199996,0.22786655426,99.02667091991164,-62.24644985194,-62.474316406199996,0.0036473637066861343,-122.220644531,5.722109375,8023.397888983675,-58.249267578,-63.971376953000004,0.04681786286561961,-179.96474609400002,7.994839477539999,561051.8877979895,-57.32330220548667,-65.31814168302667,0.04442447563237801,,,,,,,,,,,,,,,,,,,,
8000,-66.46533203119999,12.2195751953,122.6528887886476,-54.245756835899996,-66.46533203119999,0.18384885506272527,-60.8784863281,0.25175848007199997,81.8673548058416,-60.626727848028004,-60.8784863281,0.004135426079997565,-118.614462891,5.96831542969,5339.098385445829,-56.323073730655004,-62.291389160345005,0.05031692834266378,-174.540878906,8.29715698242,305463.6386074876,-55.41457397452666,-63.71173095694666,0.047537041376355636,,,,,,,,,,,,,,,,,,,,
9000,-66.27295898439999,11.666230468699998,119.29492308388409,-54.60672851569999,-66.27295898439999,0.1760330404357849,-61.58864257810001,0.26255052566500003,85.08280898849245,-61.32609205243501,-61.58864257810001,0.00426296983785707,-119.38521484399999,6.400740966799999,5506.320342484361,-56.492236938599994,-62.892977905399995,0.053614184764535645,-175.617207031,8.55179199219,318314.1789347595,-55.68847167960333,-64.24026367179333,0.048695638296311336,,,,,,,,,,,,,,,,,,,,
